id,source,text,label,comprimento,texto_processado
1_0,sms,"Oi, peço para transferir aquele valor para meu mpesa. Este mesmo número",Legitimate,71,oi peo transfer val mpes nmer
2_0,sms,Bom dia babe..tudo bem? Não se esqueça de ligar pra o seu tio e seu boss...as 09h. Bj,Legitimate,85,bom dia babetud bem esque lig pra tio boss h bj
3_0,sms,"AEN8AFWXJHC Confirmado. Compraste  19.00MT de  credito  aos 23/5/23 as 6:23 PM.O novo saldo  M-Pesa e de 0.38MT. Em caso de duvida, liga 100. M-Pesa e facil!",Legitimate,157,aenafwxjhc confirm compr mt credit pmo nov sald mpes mt cas duvid lig mpes facil
4_0,sms,"7GD04E51YZM. Caro Cliente, o codigo para efectuar levantamento na conta M-Pesa e 639850. Tens 15min para usa-lo na ATM-Ponto24 antes que expire. O teu saldo e de 2070.00 MT. M-Pesa e facil!",Legitimate,189,gdeyzm car client codig efectu levant cont mpes tem min usal atmpont ant exp sald mt mpes facil
5_0,sms,"Bom dia babe. Está bem. Vou comprar.
Boa viagem",Legitimate,47,bom dia bab est bem vou compr boa viag
6_0,sms,estou a pedir aquele valor que estou a dever-te,Legitimate,47,ped val devert
7_0,sms,"Millennium bim - Transferencia domestica - Valor 1.900,00 MZN - Codigo autorizacao: 2324416
S1 Enviado/send: 09:39:07",Legitimate,117,millennium bim transferenc domes val mzn codig autorizaca s enviadosend
8_0,sms,"Confirmado 7FA447X7O7C. Depositaste o valor de 136.00MT no agente 9-EGIDIO DANIEL aos  10/6/20 as 8:13 AM. O teu novo saldo  M-Pesa e de 8,138.00MT. M-Pesa e facil!",Legitimate,164,confirm faxoc deposit val mt agent egidi daniel am nov sald mpes mt mpes facil
9_0,sms,"Confirmado 7HS24MB25EO. Transferiste 2,500.00MT e a taxa foi de 20.00MT para conta 75097692 Millennium BIM aos 28/8/20 as 11:52 AM. o teu novo saldo M-Pesa e de 1,298.00MT.M-Pesa e facil!",Legitimate,187,confirm hsmbe transfer mt tax mt cont millennium bim am nov sald mpes mtmp facil
10_0,sms,"f**as, amanhã viajo. Podes passar daqui a casa a altura que vais trabalhar  para levar o valor? Eu viajarei as 10horas",Legitimate,118,fa amanh viaj pod pass daqu cas altur val trabalh lev val viaj hor
11_0,sms,Tia peço dinheiro podes enviar na minha conta vem em nome de Exxa,Legitimate,65,tia peo dinh pod envi cont vem nom exx
12_0,sms,"Confirmado 7F3246P8MC0. Transferiste 1,000.00MT e a taxa foi de 0.00MT para 258848114048 - d**** aos 3/6/20 as 11:47 AM. O teu novo saldo M-Pesa e de 4,112.00MT.M-Pesa e facil!",Legitimate,176,confirm fpmc transfer mt tax mt d am nov sald mpes mtmp facil
13_0,sms,"CHAMADAS SEM PARAR! Digita *111*4# e activa TUDO TOP de 1000MT com 1000Mins (Todas Redes), 22GB e 1000SMS (30 Dias). BONUS de 20% ao pagar via M-Pesa. Activa Ja",Legitimate,160,cham par digit activ tud top mt mim tod red gb sm dia bonu pag via mpes activ ja
14_0,sms,"Kmk brow, tudo bem? Peço que me envies aquele valor para minha conta m-pesa, estou  a precisar.",Legitimate,95,kmk brow tud bem peo envi val cont mpes precis
15_0,sms,Manda-lá aquele valor para aminha conta mpesa ou IZI.,Legitimate,53,mand val aminh cont mpes izi
16_0,sms,"Confirmado 8CF05S16VHM. Transferiste 1,000.00MT e a taxa foi de 8.00MT para 848114048 - d**** aos 15/3/21 as 2:01 PM. O teu novo saldo M-Pesa e de 2,723.62MT. M-Pesa e facil!.",Legitimate,175,confirm cfsvhm transfer mt tax mt d pm nov sald mpes mt mpes facil
17_0,sms,"Confirmado 7JV84YY4M82. O teu saldo  M-Pesa e  4,557.00MT  aos 31/10/20 as 10:47 AM.M-Pesa e facil!",Legitimate,99,confirm jvyym sald mpes mt ammp facil
18_0,sms,Bom dia necessito um valor para alguns requisitos da casa,Legitimate,57,bom dia necessit val algum requisit cas
19_0,sms,"Confirmado AFI7ALBFZ3H. O teu saldo  M-Pesa e  17.34MT  aos 18/6/23 as 6:17 PM. 
Na App Meu M-Pesa e mais facil. Baixa a App https://onelink.to/xanf67",Legitimate,150,confirm afialbfzh sald mpes mt pm app mpes facil baix app
20_0,sms,"Transferencia para conta movel 842655974 no valor de 500,00 MZN efectuada com sucesso, em 2021-03-09 13:54:00. Ponto24.",Legitimate,119,transferenc cont movel val mzn efectu sucess pont
21_0,sms,Kmk pt.,Legitimate,7,kmk pt
22_0,sms,"Confirmado 7LE058OS154. Recebeste  1,000.00MT de 999864 - BCI SA aos 14/12/20  as 4:04 PM o novo saldo  M-Pesa e de 1,027.00MT.M-Pesa e facil!",Legitimate,142,confirm leo receb mt bci sa pm nov sald mpes mtmp facil
23_0,sms,Babe vi sua mensagem...desculpa por te chamar de mentiroso😃 😃,Legitimate,61,bab vi mensagemdesculp cham mentir
24_0,sms,"Para confirmar a transaccao no valor de 9000.0 MZN, use o codigo: 927974. Em caso de duvida ligue ao Fala Daki atraves dos nrs. 84/87 0921224 ou 82 9991224.",Legitimate,156,confirm transacca val mzn use codig cas duvid lig fal dak atrav nr
25_0,sms,"Confirmado 7F64477ZPBK. Transferiste 700.00MT e a taxa foi de 0.00MT para 258843658340 - ANA MAHAMUDO aos 6/6/20 as 9:05 AM. O teu novo saldo M-Pesa e de 1,092.00MT.M-Pesa e facil!",Legitimate,180,confirm fzpbk transfer mt tax mt ana mahamud am nov sald mpes mtmp facil
26_0,sms,"Confirmado 6GT42R2367C. Transferiste 3,000.00MT para 258847761660 - MOMADE ALI aos 29/7/19 as 11:43 AM. O teu novo saldo M-Pesa e de 12,159.00MT. M-Pesa e facil!",Legitimate,161,confirm gtrc transfer mt momad ali am nov sald mpes mt mpes facil
27_0,sms,Mano desculpa-me lá manda envie-me aquele valor na minha conta Mpesa,Legitimate,68,man desculpam l mand enviem val cont mpes
28_0,sms,"Caro Cliente, sempre que fizeres depositos ou levantamentos no Agente M-Pesa, leva contigo o teu documento de identificacao. M-Pesa e facil!",Legitimate,140,car client sempr fiz deposit levant agent mpes lev contig document identificaca mpes facil
29_0,sms,"Bom dia Humberto Eu estou bem graças a Deus espero que esteja bem também, passei para lhe lembrar sobre a quantia que pedi para areia Que envie pra meu número 8416556 Em nome de Jose Julamo",Legitimate,189,bom dia humbert bem gra deu esper bem tambm pass lembr sobr quant ped are envi pra nmer nom jos jul
30_0,sms,Boa noite Msc espero que o dia tenha lhe corrido bem. Recebi o valor. Muito obrgdo,Legitimate,82,boa noit msc esper dia corr bem receb val obrgd
31_0,sms,"Confirmado AA639MQD9LN. Transferiste 70.00MT e a taxa foi de 2.00MT para 848602309 - FERNANDO RICARDO aos 6/1/23 as 2:40 PM. O teu novo saldo M-Pesa e de 1,685.62MT. Em caso de duvida, liga 100. M-Pesa e facil!",Legitimate,210,confirm aamqdln transfer mt tax mt fern ricard pm nov sald mpes mt cas duvid lig mpes facil
32_0,sms,Saudação irmão peço que me envie o valor que lhe solicitei na minha conta do celular. Saudação.,Legitimate,95,sauda irm peo envi val solicit cont celul sauda
33_0,sms,Desculpa pelo encomodo agradecia o favor de me enprestar um valor na quantia de 3oo mts,Legitimate,87,desculp encomod agradec favor enprest val quant oo mt
34_0,sms,"Bom dia eng,
Vi o e-mail, até amanhã envio o relatório do workshop.
Quanto à bolsa do mestrado HST, eles chegaram de dizer os requisitos dos bolseiros? Os valores a receber mensalmente, etc?
Yelen",Legitimate,196,bom dia eng vi email at amanh envi relatri workshop quant bols mestr hst cheg diz requisit bols val receb mens etc yelen
35_0,sms,Peço enviar um valor no meu MPesa,Legitimate,33,peo envi val mpes
36_0,sms,"Registou o serviço TCHAPITA com sucesso, taxa 3 MT/1 dia.(Tens 2 dias Gratis). Para cancelar, digite 1568 6# ou envie OFF para 1568. Para ajuda, ligue 100. Obrigado!",Legitimate,165,regist servi tchapit sucess tax mt diat dia gratil cancel digit envi off ajud lig obrig
37_0,sms,"Millennium mobile
Trf. BIM/M-Pesa
Da Conta:
75097692
Para o numero:
847933700
No montante de:
7500MZN
Foi efectuada
Operacao No.
780660827",Legitimate,138,millennium mobil trf bimmp cont numer mont mzn efectu operaca
38_0,sms,Manda no meu voda se for mpesa e em qualquer dos números se for conta móvel...,Legitimate,78,mand vod mpes qualqu nmer cont mvel
39_0,sms,Babe...vou esperar sua boleia...tenho muita coisa pra levar,Legitimate,59,babev esper boleiatenh muit cois pra lev
40_0,sms,Falhou. Nao tens saldo suficiente na conta M-Pesa  para levantar 800.00MT  de 359723.O saldo M-Pesa e de 632.62MT. M-Pesa e facil!,Legitimate,130,falh nao tem sald sufici cont mpes levant mt sald mpes mt mpes facil
41_0,sms,Está bem babe...eu acredito em ti,Legitimate,33,est bem babe acredit ti
42_0,sms,"Confirmado 7FB5484SI9T. Transferiste 800.00MT e a taxa foi de 0.00MT para 258840418601 - ELIAS MANUEL aos 11/6/20 as 11:00 AM. O teu novo saldo M-Pesa e de 4,158.00MT.M-Pesa e facil!",Legitimate,182,confirm fbsit transfer mt tax mt eli manuel am nov sald mpes mtmp facil
43_0,sms,Já estou encasa. Obrigada babe por passar a tarde conosco,Legitimate,57,j encas obrig bab pass tard conosc
44_0,sms,"7EU045Z4MFU confirmado. Recebeste o pagamento de  2,000.00MT  de 999864 - BCI SA aos 30/5/20 as 2:12 PM. O novo saldo M-Pesa e de 13,629.00MT M-Pesa e facil!",Legitimate,157,euzmfu confirm receb pag mt bci sa pm nov sald mpes mt mpes facil
